miRNA	D10_WT_Fe_Ov-1	D10_WT_Fe_Ov-2	D10_WT_Fe_Ov-3	D10_MT_Fe_Ov-1	D10_MT_Fe_Ov-2	D10_MT_Fe_Ov-3	D10_WT_Ma_Te-1	D10_WT_Ma_Te-2	D10_WT_Ma_Te-3	D30_WT_Fe_Ov-1	D30_WT_Fe_Ov-2	D30_WT_Fe_Ov-3	D30_MT_Fe_Ov-1	D30_MT_Fe_Ov-2	D30_MT_Fe_Ov-3	D30_WT_Ma_Te-1	D30_WT_Ma_Te-2	D30_WT_Ma_Te-3	D120_WT_Fe_Ov-1	D120_WT_Fe_Ov-2	D120_WT_Fe_Ov-3	D120_MT_Fe_Ov-1	D120_MT_Fe_Ov-2	D120_MT_Fe_Ov-3	D120_WT_Ma_Te-1	D120_WT_Ma_Te-2	D120_WT_Ma_Te-3
ola-miR-33ba-3p	13	6	0	0	0	6	1	1	6	0	0	0	0	0	0	0	0	0	3	5	10	3	7	3	11	3	5
ola-miR-34a-5p	43064	25089	37274	51115	34181	64780	9667	9786	55769	404	374	376	267	152	700	1179	1078	756	1355	3347	1622	1633	1769	1161	1975	2000	1468
ola-miR-3618-5p	1	2	3	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	2	1	1	2	2	0	1	4	2
ola-miR-365-2b-5p	411	347	136	590	327	329	121	223	579	37	0	100	0	3	0	1	0	1	13	22	31	21	14	4	2	3	1
ola-miR-365-2b-3p	123	111	198	57	147	98	113	90	125	99	42	65	14	82	17	125	63	75	62	226	137	58	86	141	40	33	67
ola-miR-375a-3p	25549	15793	15334	26402	17978	39635	7250	8648	41200	7831	4690	4493	391	184	529	612	416	337	784	2409	1501	1346	1355	848	180	130	788
ola-miR-425-5p	1315	818	1050	1664	968	2152	727	1048	2070	1388	1687	1437	385	332	536	979	873	684	5947	9303	4578	5553	4401	3590	782	710	1332
ola-miR-425-3p	85	26	38	85	47	164	16	20	55	123	73	5	10	11	5	61	25	30	420	879	529	347	419	264	64	75	100
ola-miR-429a-5p	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ola-miR-429a-3p	98989	52132	53515	92641	66853	162282	21468	34871	103044	3927	3801	3510	1843	585	3127	4876	4519	3371	2839	6911	4569	3417	5368	2732	721	553	2815
ola-miR-430a-1-3p	518	141	182	252	256	673	90	89	282	28	45	36	55	11	259	173	112	97	41	65	474	24	41	32	50	69	56
ola-miR-430a-2/3-3p	10	0	2	10	0	6	1	0	7	0	0	0	0	0	0	0	0	0	0	3	5	1	2	0	4	0	4
ola-miR-430a-4-3p	95	45	42	76	53	157	24	32	85	0	0	0	17	7	67	114	71	61	58	85	462	35	52	45	212	223	199
ola-miR-430b-1-3p	294	81	100	138	180	403	72	70	228	123	95	72	71	29	457	265	213	150	62	102	569	29	67	47	212	242	201
ola-miR-430b-2-3p	4	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	1	0
ola-miR-430c-3p	707	293	366	594	479	1048	333	377	957	217	94	119	115	46	607	850	662	493	692	1116	3008	380	865	558	1883	1859	1687
ola-miR-430-d-3-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ola-miR-430-d-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ola-miR-430d-2-11-3p	8	2	1	0	0	2	0	3	7	0	0	0	0	0	0	1	0	0	0	2	1	1	0	0	0	2	4
ola-miR-430d-2-3p	81	50	62	114	62	116	76	50	113	0	0	6	6	0	13	12	3	8	10	11	169	4	8	4	91	82	115
ola-miR-430d-2-17-3p	2	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ola-miR-449-1-5p	894	416	477	799	614	1107	167	42	1314	0	0	0	0	0	0	0	0	1	2	5	2	2	0	5	577	542	445
ola-miR-449-1-3p	44	15	23	97	40	49	19	1	62	19	59	107	0	0	0	0	0	0	0	0	0	0	0	0	32	35	15
ola-miR-449-2-5p	47	15	29	25	15	40	7	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	53	36
ola-miR-451-5p	154387	58172	49722	70111	77717	220719	15448	23775	81382	4070	3373	3489	1707	1525	2732	16276	8986	8122	137785	396227	225472	75800	317825	144336	55582	88487	54813
ola-miR-454b-5p	34	34	54	148	48	57	57	40	141	30	0	0	7	0	0	2	1	2	0	4	1	2	1	1	3	4	6
ola-miR-454b-3p	3921	2274	2746	1865	2097	4110	1585	1222	4227	0	21	0	0	0	14	79	42	32	214	476	286	217	324	227	237	194	229
ola-miR-455-5p	31020	14665	18041	28171	21769	45748	10079	8268	36981	521	333	299	41	28	163	881	758	584	2169	4115	2346	2268	3462	1709	1151	939	1371
ola-miR-455-3p	2711	1010	1814	3103	1990	4123	1286	774	3007	2652	1077	1547	109	66	246	699	651	398	1224	1544	1197	618	1130	1074	373	351	540
ola-miR-456-3p	20355	9917	8321	17351	15812	32039	2321	4334	20635	794	723	1086	84	65	298	473	616	340	954	1831	816	803	1140	748	655	523	533
ola-miR-457a-5p	6259	3715	4124	5648	4106	8195	2375	2036	7336	1123	301	419	21	10	49	999	1274	673	4168	9716	6298	4764	8129	3529	9859	6354	7074
ola-miR-458-3p	588	314	476	362	550	610	181	138	491	0	0	0	0	0	0	6	18	10	63	114	85	58	118	84	89	63	177
ola-miR-459-5p	11357	1519	4758	7593	2589	10737	225	464	2178	0	0	0	0	0	0	1	3	0	31	322	37	30	110	52	64	137	82
ola-miR-459-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ola-miR-460-5p	199	47	214	152	119	221	57	48	94	0	0	0	0	0	0	0	1	0	3	6	23	1	6	0	18	6	21
ola-miR-460-3p	12	1	18	20	4	16	3	5	8	0	0	0	0	0	0	0	0	0	1	2	1	0	1	2	1	1	2
ola-miR-489-5p	96	44	73	75	44	136	19	6	93	0	0	0	1	0	0	14	15	20	43	127	65	32	81	36	11	5	16
ola-miR-489-3p	1310	625	797	1181	1064	1907	541	440	1898	0	25	0	0	0	0	17	23	22	96	391	249	148	266	80	17	21	44
ola-miR-499a-5p	174187	100026	84703	124593	99006	238559	27907	33539	125185	160	119	150	39	7	109	2251	2263	1182	2595	3477	2527	1647	2914	2051	233	200	256
ola-miR-499a-3p	750	313	341	334	276	784	60	100	303	0	0	0	0	0	0	1	0	2	7	7	11	3	8	4	3	1	0
ola-miR-7132a-5p	1623	613	739	1586	1058	2518	282	367	878	157	88	76	2	5	20	77	54	39	283	1108	312	382	242	104	145	109	243
ola-miR-7132a-3p	5	0	4	5	4	16	1	2	1	0	0	0	0	0	0	2	0	0	3	3	2	0	0	2	3	1	2
ola-miR-7132b-5p	4933	1651	2748	4289	2738	6577	910	925	2478	141	284	252	10	11	50	321	244	149	1504	8750	3022	2417	1712	706	367	333	494
ola-miR-7132b-3p	1278	619	418	712	686	1702	145	252	931	26	0	17	0	1	2	41	32	20	642	1288	775	519	389	290	43	53	88
ola-miR-7133-5p	4	1	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	4	3	1	0	2	0	2
ola-miR-7133-1-3p	15	8	7	4	5	7	0	1	4	22	0	0	0	0	0	0	0	1	6	9	14	1	5	3	7	9	8
ola-miR-7133-2-3p	17	27	12	30	14	13	9	12	25	0	0	0	0	0	0	4	3	6	72	37	54	29	51	35	13	19	28
ola-miR-722b-5p	234	112	95	153	204	393	32	29	127	0	14	0	0	7	0	22	24	18	62	165	92	73	78	46	21	42	25
ola-miR-722b-3p	714	452	553	688	517	1125	193	157	959	59	12	0	2	7	5	122	105	74	865	1366	916	683	794	830	290	372	310
ola-miR-723a-5p	306	134	208	259	142	544	64	51	457	0	0	0	0	0	0	6	7	3	3	3	2	5	7	2	30	30	17
ola-miR-723a-3p	4	0	3	4	0	8	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	2	3	23	19	17
ola-miR-723b-5p	9	11	14	30	2	12	10	2	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ola-miR-723b-3p	11	4	6	5	11	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ola-miR-724-5p	9646	5631	6380	7407	11019	16862	4743	2420	15239	231	57	134	18	0	52	71	65	43	268	351	228	267	283	258	234	154	393
ola-miR-724-3p	263	153	96	209	239	445	108	56	367	34	22	28	0	0	0	5	5	4	4	8	1	7	3	1	1	4	9
ola-miR-725-5p	381	260	191	377	281	411	133	243	781	46	0	14	7	12	27	52	39	36	17	28	27	20	21	8	7	4	11
ola-miR-725-3p	7479	5640	6440	7909	5055	9235	3312	4789	12516	5996	2217	1731	6947	2132	6808	5937	7711	5457	2832	4325	4549	1521	2432	3391	702	505	836
ola-miR-726-5p	4	0	2	3	0	1	111	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ola-miR-726-3p	13	10	17	18	10	14	211	3	15	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	5	1	1
ola-miR-727a-5p	464	307	467	829	437	739	460	186	1166	18	36	88	82	57	68	130	137	90	151	353	203	239	389	83	156	86	78
ola-miR-727a-3p	114	36	127	112	117	273	54	22	264	0	11	7	3	2	12	34	32	32	44	110	97	93	119	39	56	41	36
ola-miR-727b-5p	1618	982	1193	2019	1382	2955	969	429	2943	42	0	16	0	0	0	2	0	0	60	111	35	63	195	9	316	368	183
ola-miR-727b-3p	203	77	184	84	198	468	55	46	477	0	11	0	0	0	0	0	0	1	11	11	3	13	29	1	68	48	30
ola-miR-728a-3p	221	78	111	154	124	329	40	17	115	0	0	0	0	0	0	25	40	20	33	89	66	32	85	37	38	17	15
ola-miR-728b-5p	119	45	65	83	52	202	7	11	83	0	0	0	0	0	0	0	1	0	16	17	2	9	15	3	58	91	43
ola-miR-728b-3p	250	120	155	182	110	492	54	27	249	0	0	0	0	0	0	0	2	0	33	59	30	29	82	7	194	268	145
ola-miR-729-5p	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1
ola-miR-729-3p	4	1	3	4	8	0	0	0	5	0	0	0	0	0	0	2	2	1	13	10	12	5	16	2	4	10	11
ola-miR-730-5p	3238	2145	2806	4416	3019	5019	2459	1320	7639	892	525	764	151	33	220	1142	896	703	1364	2783	801	1507	3432	736	477	321	1047
ola-miR-730-3p	71	17	40	44	58	81	49	25	37	44	0	0	3	0	0	4	2	2	17	54	18	38	85	9	11	9	21
ola-miR-734-5p	6	6	33	20	13	8	5	11	16	0	0	0	0	0	0	3	3	3	7	35	5	11	12	9	27	14	45
ola-miR-734-3p	476	264	492	530	365	746	117	112	552	0	0	0	0	0	3	33	27	18	74	343	48	99	118	89	275	200	208
ola-miR-736-1-5p	8	2	1	4	6	4	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ola-miR-737-5p	2517	950	1562	952	1668	3439	970	583	2455	34	10	12	10	4	10	258	171	137	1885	2846	1229	1199	1694	1412	2411	1751	1307
ola-miR-7552a-5p	13	9	18	7	9	31	1	4	16	0	0	0	0	0	2	4	0	0	24	74	50	32	58	29	20	11	13
ola-miR-7552b-5p	29	10	27	15	15	52	7	1	7	0	0	0	0	0	4	26	13	7	153	352	257	191	269	182	85	74	47
ola-miR-7552b-3p	5	6	12	5	12	17	6	1	15	0	0	0	2	0	0	14	7	6	158	334	198	210	281	136	22	23	12
